claim_id,entity,claim_type,claim,source_url,source_confidence,hard_claim,review_action,last_checked_date
CL-0100,Menlo Ventures / Suno,Market move,2026-01-22: Menlo framed Suno as participatory music creation in its Series C thesis.,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0101,EIC Accelerator,Market move,2026-02-17: 61 startups and SMEs secured EIC Accelerator support in the latest round.,https://eic.ec.europa.eu/news/61-start-ups-and-smes-secure-eic-support-latest-round-eic-accelerator-2026-02-17_en,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0102,Tom's Guide AI Awards,Market move,2026-04-02: Tom's Guide AI Awards nominations closed for 2026.,https://www.tomsguide.com/ai/introducing-the-toms-guide-ai-awards-2026,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0103,Rick Beato / Gibson / Nuno Bettencourt,Market move,2026-05-22: Guitar media highlighted Rick Beato's live collaboration at Six-String Sanctuary and use of signature Gibson gear.,https://www.guitarworld.com/artists/guitarists/nuno-bettencourt-and-rick-beato-play-thin-lizzy,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0104,Business Finland,Market move,2026-06-03: Business Finland funding listings showed open R&D and internationalization funding routes.,https://www.businessfinland.fi/en/services/funding/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0105,Simply,App performance,"Google Play public proxy: 10M+ downloads, 4.6 rating, 360K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0106,Simply,App performance,"Needs Appfigures; include as Simply portfolio app. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://www.hellosimply.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0107,Flowkey,App performance,"Apple public proxy: 4.7 rating, 64K ratings; Google Play public proxy: 10M+ learners claim in listing. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0108,Skoove,App performance,"Google Play public proxy: 1M+ downloads, 11.6K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0109,Fender Play,App performance,"Apple public proxy: 4.8 rating, 61K ratings; Google Play public proxy: 1M+ downloads, 13.2K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0110,Gibson App,App performance,"Needs Appfigures and public app-store validation. Public proxy, not Appfigures.",https://www.gibson.app/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0111,Moises,App performance,"Apple public proxy: 4.7 rating, 27K ratings; company / MBW proxy: Music.AI says Moises reached 50M users. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0112,Ultimate Guitar,App performance,"Google Play public proxy: 10M+ downloads, 627K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0113,MuseScore,App performance,"Apple public proxy: 4.6 rating, 76K ratings; Google Play public proxy: 10M+ downloads, 156K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0114,Songsterr,App performance,"Apple public proxy: 4.7 rating, 42K ratings; listing claims large tab catalog. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0115,Chordify,App performance,"Needs Appfigures / public app-store validation. Public proxy, not Appfigures.",https://chordify.net/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0116,Chord ai,App performance,"Needs Appfigures; public listings validate AI chord recognition. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://chordai.net/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0117,Rocksmith+,App performance,"Needs Appfigures plus Ubisoft platform data. Public proxy, not Appfigures.",https://www.ubisoft.com/en-us/game/rocksmith/plus,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0118,Fretello,App performance,"Needs Appfigures; specialist guitar-learning app. Public proxy, not Appfigures.",https://fretello.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0119,Musora,App performance,"Needs Appfigures plus web membership validation. Public proxy, not Appfigures.",https://www.musora.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0120,BandLab,App performance,"Apple public proxy: 4.8 rating, 484K ratings; company proxy: 100M+ creators and fans. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0121,ABRSM,Education reach / role,"Official site states 650,000+ exams and assessments each year in 93 countries; 2024 report lists 445,229 qualifications in 2023/24. Shapes formal progression, parent trust and curriculum mapping.",https://www.abrsm.org/,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0122,Trinity College London,Education reach / role,Global exam board with 150+ years of assessment heritage. Alternative formal benchmark with modern repertoire and digital exam options.,https://www.trinitycollege.com/local-trinity/UK/a-modern-approach-to-music-exams,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0123,RSL Awards / Rockschool,Education reach / role,"Global exam and qualification network; UK Music notes 150+ examiners/assessors/moderators. Important for guitar, drums, vocals and modern-music progression.",https://www.rslawards.com/,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0124,Music Teachers National Association,Education reach / role,"Public profiles cite 17,000+ members across US state/local affiliates. Private teachers influence learner choices, retention and app recommendations.",https://www.mtna.org/index.html,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0125,Berklee Online,Education reach / role,"Official FAQ: 30,000+ musicians from 140+ countries have taken courses; classes cap at 20. High-trust benchmark for instructor-led online music education.",https://online.berklee.edu/about/berklee-online,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0126,School of Rock,Education reach / role,"Public social/current pages reference 400+ locations; official locator validates broad footprint. Owns parent trust, accountability and local performance motivation.",https://www.schoolofrock.com/locations,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0127,Lessonface,Education reach / role,Marketplace with verified student reviews and live online format. Shows where teacher-led lessons move online after TakeLessons closure.,https://www.lessonface.com/home,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0128,TakeLessons,Education reach / role,Closure FAQ confirms account access ended 2024-11-15. Signals fragility and consolidation risk in lesson marketplaces.,https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0129,Musora,Education reach / role,Large YouTube-led education ecosystem; exact membership requires validation. Strong example of creator-trust and multi-instrument subscription funnels.,https://www.musora.com/,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0130,Pianote,Education reach / role,Public site and YouTube proxies show large reach; exact paid base pending. Competes with piano apps through human-teacher trust and YouTube funnels.,https://www.pianote.com/,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0131,Drumeo,Education reach / role,YouTube public proxy: 5.47M subscribers. A leading model for instrument-specific creator-led learning.,https://www.youtube.com/%40DrumeoOfficial,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0132,Scott's Bass Lessons,Education reach / role,Public proxies: 1.57M YouTube subscribers and large course platform. Shows how specialist instrument education can support serious hobbyists.,https://scottsbasslessons.com/,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0133,ArtistWorks,Education reach / role,Specialist paid education platform; scale requires validation. Model for asynchronous teacher feedback and premium instructor access.,https://artistworks.com/,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0134,tonebase,Education reach / role,Specialist subscription platform; scale requires validation. Relevant for serious learners and premium teacher-of-teachers positioning.,https://www.tonebase.co/,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0135,Royal Conservatory of Music,Education reach / role,North American formal-learning institution. Benchmark for parent/teacher trust and formal progression.,https://www.rcmusic.com/learning,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0136,Flat for Education,Education reach / role,Teacher/school SaaS; exact school penetration pending. Shows teacher-managed music workflows in SaaS form.,https://flat.io/edu,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0137,Noteflight Learn,Education reach / role,"Established education-facing notation platform; ownership/traffic requires validation. Relevant to composition, notation and teacher workflows.",https://www.noteflight.com/learn,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0138,JustinGuitar,Creator reach,1.98M public site proxy / Needs platform export,https://www.justinguitar.com/,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0139,Marty Music,Creator reach,4.9M / SocialBlade proxy: 9.26M monthly views,https://www.youtube.com/martymusic,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0140,Rick Beato,Creator reach,5.67M / vidIQ proxy: 84.82M monthly views,https://www.youtube.com/RickBeato,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0141,Paul Davids,Creator reach,3.67M / Official site proxy: 520M total video views,https://pauldavidsguitar.com/,High,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0142,Andy Guitar,Creator reach,3.13M / SocialBlade proxy: 396M total views,https://www.youtube.com/user/andycrowley,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0143,GuitarZero2Hero,Creator reach,1.8M / Needs validation,https://www.youtube.com/channel/UCasFZzbM8JJ6dqSVEgL9VVg,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0144,GuitarLessons365Song,Creator reach,1.6M public proxy / vidIQ proxy: gained 10K subscribers in last 30 days,https://videos.feedspot.com/guitar_youtube_channels/,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0145,Swiftlessons,Creator reach,980K / vidIQ proxy: 881.87K monthly views,https://www.youtube.com/user/swiftlessons,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0146,Pianote,Creator reach,To validate; vidIQ shows strong growth / vidIQ proxy: 8.13M monthly views,https://www.pianote.com/,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0147,Piano With Jonny,Creator reach,478K / vidIQ proxy available,https://pianowithjonny.com/,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0148,Nahre Sol,Creator reach,830K / Wikipedia proxy: 85M+ total views,https://www.youtube.com/c/NahreSol,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0149,Piano From Scratch,Creator reach,248K / Needs validation,https://www.youtube.com/c/PianoFromScratch,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0150,Drumeo,Creator reach,5.47M / vidIQ proxy: 34.43M monthly views,https://www.youtube.com/%40DrumeoOfficial,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0151,Scott's Bass Lessons,Creator reach,1.57M / SocialBlade proxy: 476M total views,https://scottsbasslessons.com/,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0152,BassBuzz,Creator reach,978K / vidIQ proxy: 1.24M monthly views,https://www.youtube.com/c/BassBuzz,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0153,Adam Neely,Creator reach,1.83M / vidIQ proxy: 414K monthly views,https://www.youtube.com/adamneely,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0154,David Bennett Music Theory,Creator reach,1.3M / Needs validation,https://www.youtube.com/%40DavidBennettPiano,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0155,Signals Music Studio,Creator reach,713K / Official site proxy: 40M+ views,https://signalsmusic.studio/,High,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0156,Andrew Huang,Creator reach,2.37M / SocialBlade proxy: 379M total views,https://www.youtube.com/channel/UCdcemy56JtVTrsFIOoqvV8g,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0157,Charles Cornell,Creator reach,1.89M / SocialBlade proxy: 267M total views,https://www.youtube.com/%40CharlesCornellStudios,Medium,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0158,Active Melody,Creator reach,Needs validation / Needs validation,https://www.activemelody.com/,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0159,Bernth,Creator reach,Needs validation / Needs validation,https://www.youtube.com/c/Bernthguitar,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0160,Ben Eller,Creator reach,Needs validation / Needs validation,https://www.youtube.com/user/BenEllerGuitars,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0161,12tone,Creator reach,Needs validation / Needs validation,https://www.youtube.com/c/12tonevideos,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0162,The Charismatic Voice,Creator reach,Needs validation / Needs validation,https://www.youtube.com/c/TheCharismaticVoice,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0163,Jared Dines,Creator reach,Needs validation / Needs validation,https://www.youtube.com/user/th3ycharg3,Low,Yes,Refresh platform metrics before campaign or board use.,2026-06-11
CL-0164,Menlo Ventures,Investor / deal relevance,Led Suno $250M Series C in 2025. Relevant because AI music creation is now a major VC-backed consumer thesis.,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0165,Lightspeed Venture Partners,Investor / deal relevance,Participated in Suno Series C. Indicates mainstream venture appetite for participatory music creation.,https://suno.com/blog/series-c-announcement,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0166,Matrix Partners,Investor / deal relevance,Participated in Suno Series C. Useful AI-music investor signal.,https://suno.com/blog/series-c-announcement,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0167,NVentures,Investor / deal relevance,Participated in Suno Series C. Shows strategic AI infrastructure interest in music generation.,https://suno.com/blog/series-c-announcement,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0168,Hallwood Media,Investor / deal relevance,Participated in Suno Series C. Relevant as music-native capital enters generative AI.,https://suno.com/blog/series-c-announcement,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0169,Connect Ventures,Investor / deal relevance,Led Music.AI $40M Series A with monashees. Strong signal for practical musician AI tools.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0170,monashees,Investor / deal relevance,Co-led Music.AI Series A. Relevant to Moises and global AI musician-tool growth.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0171,Samsung Next,Investor / deal relevance,Participated in Music.AI Series A. Relevant for embedded and on-device practice AI.,https://www.recordoftheday.com/news-and-press/music-ai-the-company-behind-moises-raises-40m-in-series-a-funding-led-by-connect-ventures-and-monashees,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0172,Kickstart,Investor / deal relevance,Participated in Music.AI Series A. Useful as practical AI-tools investor signal.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0173,Pelion Venture Partners,Investor / deal relevance,Participated in Music.AI Series A. Relevant for music AI utility investment mapping.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0174,Toba Capital,Investor / deal relevance,Participated in Music.AI Series A. Relevant as AI audio moves beyond consumer apps to B2B/audio infrastructure.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0175,Valutia,Investor / deal relevance,Participated in Music.AI Series A. Watchlist investor around practical audio AI.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0176,Accel,Investor / deal relevance,Existing v2 queue flags ownership/investor validation. Relevant for consumer learning and subscription scaling patterns.,https://www.accel.com/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0177,Prosus Ventures,Investor / deal relevance,Joined BandLab Series B per public coverage. Relevant to scaled social creation and emerging-market consumer behavior.,https://caldecottmusic.com/press/9953-bandlab-raises-us65m-series-b,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0178,Vulcan Capital / Cercano,Investor / deal relevance,Led BandLab Series B coverage in 2022. Relevant for social music creation and long-horizon capital.,https://techcrunch.com/2022/04/26/social-music-platform-bandlab-scores-65m-at-a-valuation-of-315-million/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0179,Caldecott Music Group,Investor / deal relevance,BandLab parent ecosystem and investor in Series B. Relevant as a music-native ecosystem operator.,https://caldecottmusic.com/press/9953-bandlab-raises-us65m-series-b,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0180,Goldman Sachs Growth,Investor / deal relevance,Led Splice Series D per public coverage. Relevant to scale economics and consolidation in music software.,https://www.musicbusinessworldwide.com/splice-closes-55m-series-d-funding-round-led-by-goldman-sachs/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0181,MUSIC / LionTree,Investor / deal relevance,Participated in Splice Series D. Relevant as music-rights-aware capital in creator tools.,https://www.musicbusinessworldwide.com/splice-closes-55m-series-d-funding-round-led-by-goldman-sachs/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0182,Sony Innovation Fund,Investor / deal relevance,Specific music-learning or AI-music deals require investor-database validation. Relevant corporate venture arm for entertainment technology scanning.,https://www.sonyinnovationfund.com/,Medium,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0183,Warner Music Group,Investor / deal relevance,Settled/partnered with Suno and collaborated with Udio in 2025. Relevant as rights infrastructure around AI music.,https://www.wmg.com/news/warner-music-group-and-suno-forge-groundbreaking-partnership,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0184,Universal Music Group,Investor / deal relevance,Announced Udio settlement/licensed platform and Splice AI collaboration. Relevant for rights-safe AI creation and catalog constraints.,https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
CL-0185,Business Finland,Investor / deal relevance,Open R&D and piloting funding services. Operationally relevant public-funding route for Yousician.,https://www.businessfinland.fi/en/services/funding/,High,Yes,Validate deal data with primary source or investor database.,2026-06-11
