profile_id,player,brief_category,influence_role,why_they_likely_matter,what_they_are,estimated_size_reach,ownership_investors,ai_or_recent_initiatives,last_24m_news,performance_data_status,source_confidence,primary_source_url,relationship_completion_status,next_validation_step,one_pager_status
KP-01,Simply,Music learning apps and platforms,Direct learning app,"Useful benchmark for onboarding, motivation, pricing, and growth in app-based music education.",Mobile-first music learning platform and direct reference point for casual learners.,Large consumer app,Simply Ltd,Potential personalization and practice feedback research target,No strong last-24-month news item mapped yet; monitor via source watchlist.,Simply Guitar - Learn Guitar: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.; Simply Piano: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.hellosimply.com/simply-guitar,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-02,Ultimate Guitar,Music hobby software ecosystem,Song-practice ecosystem,Strong influence on how hobbyists discover songs and move from inspiration to practice.,"Tab, chord, song, and musician community ecosystem for guitar players.",Large global music community,Muse Group,"Research AI-assisted discovery, practice, and content workflow signals",No strong last-24-month news item mapped yet; monitor via source watchlist.,Ultimate Guitar: Chords & Tabs: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.ultimate-guitar.com/about/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-03,Fender Play,Music learning apps and platforms,Brand-backed learning app,"Shows how instrument makers can extend into software, subscriptions, and beginner journeys.",Learning product connected to one of the strongest guitar brands.,Brand-backed learning app,Fender,Confirmed app feedback surface; broader AI/connected-instrument roadmap remains a monitoring hypothesis,No strong last-24-month news item mapped yet; monitor via source watchlist.,Fender Play: Learn Guitar: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.fender.com/play,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-04,Flowkey,Music learning apps and platforms,Instrument learning app,"Important benchmark for piano learning, catalog positioning, and conversion mechanics.","Piano learning app focused on songs, guided lessons, and practice support.",Established piano app,"flowkey GmbH; Yamaha is a hardware-promotion partner, not shown here as owner",Confirmed feedback/product-learning surface; AI content generation remains a monitoring hypothesis,No strong last-24-month news item mapped yet; monitor via source watchlist.,flowkey - Learn to Play Piano: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.flowkey.com/en,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-05,JustinGuitar,Music hobby software ecosystem,Creator-led practice ecosystem,Shows the power of trusted teachers and free content in shaping learner behavior.,Influential guitar educator with a broad online learning footprint.,Large creator-led audience,Independent,Research how creator-led learning uses AI-assisted practice or content,No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.justinguitar.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-06,Fender,"Instrument brands, manufacturers and distributors",Hardware ecosystem,Instrument brands can shape the beginner funnel before users choose a learning app.,"Iconic guitar brand with reach across aspiration, hardware, education, and artist culture.",Major global brand,Private,Research connected instrument and practice feedback initiatives,2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant.,No app-performance row mapped; add if app-based.,Low,https://www.fender.com/play,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-07,Yamaha,"Instrument brands, manufacturers and distributors",Hardware and education ecosystem,"Influences hardware access, music education channels, and partner possibilities.",Large music instrument and audio company with broad education relevance.,Major global brand,Public company,"Research smart instruments, learning integrations, and audio AI",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.yamaha.com/en/products-services/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-08,BandLab,Music hobby software ecosystem,Creation and social platform,Represents the shift from learning an instrument to making and sharing music quickly.,Cloud music creation and collaboration ecosystem with strong creator and community signals.,Large creator community,BandLab Technologies,AI-assisted creation and creator workflow research target,2026-06-08: BandLab's help center updated SongStarter guidance for AI-generated song ideas. | 2025-02-01: BandLab continued to present itself as a 100M+ creator and fan platform.,BandLab Music Maker & Beats: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.bandlab.com/?lang=en,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-09,Splice,Music hobby software ecosystem,Creator marketplace,Shows how hobbyists and creators pay for tools that accelerate making music.,"Sample, sound, and creator workflow platform.",Large creator tool,Private,"AI search, generation, and workflow research target",2026-04-15: Splice announced generative AI tools tied to its creator compensation model. | 2025-10-02: Splice moved beyond samples with a cloud-connected instrument plugin drawing on Spitfire libraries. | 2025-04-28: Splice announced the acquisition of Spitfire Audio.,No app-performance row mapped; add if app-based.,Low,https://splice.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-10,Suno,AI companies and AI initiatives,AI creation disruptor,"May shift the meaning of music participation, motivation, and creation for casual users.",AI music generation platform that changes how non-musicians create complete songs.,High visibility AI platform,Private,Core AI music generation,2026-01-22: Menlo framed Suno as participatory music creation in its Series C thesis. | 2025-11-25: Warner Music Group and Suno announced a partnership and settlement path for licensed AI models. | 2025-11-19: Suno raised a $250M Series C at a $2.45B post-money valuation.,No app-performance row mapped; add if app-based.,Low,https://suno.com/about,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-11,Udio,AI companies and AI initiatives,AI creation disruptor,"Important to understand whether AI creation competes with, complements, or expands music learning.",AI music generation platform for prompt-based song creation.,High visibility AI platform,Private,Core AI music generation,2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant. | 2025-10-29: UMG and Udio settled litigation and announced agreements for a licensed AI music creation platform planned for 2026. | 2025-08-20: Moises launched AI Studio for adaptive AI music creation support.,No app-performance row mapped; add if app-based.,Low,https://www.udio.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-12,Moises,AI companies and AI initiatives,AI practice utility,Strong example of AI improving practice workflows without replacing instrument learning.,AI-powered music practice and audio utility used by musicians and learners.,Large musician utility,Private,"Audio separation, practice tools, smart music utilities",2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant. | 2025-08-20: Moises launched AI Studio for adaptive AI music creation support. | 2025-01-22: Music.AI raised a $40M Series A and reported Moises at 50M users.,Moises: The Musician's App: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Medium,https://moises.ai/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-13,Duolingo,"Teachers, schools and music education organizations / wider education",Consumer learning benchmark,"Not music-specific, but highly relevant for learning loops, retention, brand, and AI in education.","Consumer learning benchmark for habit formation, gamification, and subscription education.",Very large public consumer education app,Public company,"AI personalization, tutoring, and content systems research target",2024-09-25: Duolingo Music was linked to a beginner-friendly portable piano product with Loog.,No app-performance row mapped; add if app-based.,Low,https://investors.duolingo.com/investor-relations,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-14,Guitar Tricks,Music learning apps and platforms,Structured guitar learning platform,"Important guitar-specific subscription benchmark for curriculum depth, song-led learning, and adult beginner messaging.","Long-running online guitar lesson platform with structured courses, songs, and learning tools.",Large online guitar education platform,Guitar Tricks Inc.,"Research personalization, practice planning, and lesson recommendation signals",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Pending,https://www.guitartricks.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-15,Pickup Music,Music learning apps and platforms,Structured guitar learning platform,"Useful benchmark for higher-intent guitarists, modern aesthetics, community, and guided weekly practice.",Modern guitar-learning platform built around structured pathways and contemporary player identity.,Growing modern guitar platform,"Pickup Music, Inc.","Research personalized feedback, pathway design, and practice accountability",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Medium,https://www.pickupmusic.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-16,Rocksmith+,Music learning apps and platforms,Interactive song-learning service,"Important benchmark for real-time feedback, licensed songs, game-like practice, and multi-instrument expansion.","Interactive music-learning service built around real instruments, song catalog, and feedback.",Major game-backed learning brand,Ubisoft,"Research note detection, adaptive difficulty, and song-based feedback mechanics",2024-06-20: Rocksmith+ continued cross-platform subscription positioning for learning real songs with real instruments.,Rocksmith+: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.ubisoft.com/en-us/game/rocksmith/plus,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-17,Gibson App,Music learning apps and platforms,Brand-backed guitar learning app,Shows how a major guitar brand can bundle learning with instrument purchase and beginner motivation.,Guitar-learning app connected to Gibson's hardware and brand ecosystem.,Brand-backed learning app,Gibson,Research real-time feedback and brand-led personalization,No strong last-24-month news item mapped yet; monitor via source watchlist.,Gibson: Learn & Play Guitar: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://www.gibson.app/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-18,Chordify,Music hobby software ecosystem,Song-chord practice utility,Owns a high-intent moment between song discovery and self-guided practice.,Chord-recognition and play-along platform that turns songs into playable chord progressions.,Large chord utility,Chordify B.V.,"Chord recognition, song parsing, and practice support",No strong last-24-month news item mapped yet; monitor via source watchlist.,Chordify: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://chordify.net/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-19,YouTube,Music hobby software ecosystem,Music discovery and creator platform,"A major substitute and funnel for self-guided learning; it shapes inspiration, discovery, and expectations of free content.","Default open platform for free music learning, creator-led lessons, discovery, and artist careers.",Massive global platform,Google / Alphabet,"Recommendation, Shorts discovery, creator tools, and AI content policy",2026-06-10: Independent musicians sued Google over alleged use of YouTube-uploaded music for Lyria AI training. | 2026-04-30: Alphabet reported record quarterly growth for YouTube Music and Premium non-trial subscribers. | 2024-11-12: YouTube tested AI restyling of licensed songs for Shorts using Dream Track technology.,No app-performance row mapped; add if app-based.,Low,https://artists.youtube/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-20,Gibson,"Instrument brands, manufacturers and distributors",Hardware and brand ecosystem,Hardware brands can capture learner intent before software choice and can bundle education into purchase moments.,Iconic guitar brand with a direct learning app and hardware-led beginner entry points.,Major guitar brand,Private,"Research connected learning, app feedback, and brand-led beginner journeys",2026-05-22: Guitar media highlighted Rick Beato's live collaboration at Six-String Sanctuary and use of signature Gibson gear.,No app-performance row mapped; add if app-based.,Low,https://www.gibson.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-21,Positive Grid,"Instrument brands, manufacturers and distributors",Smart amp and practice ecosystem,Shows how hardware can become an app-led practice surface and compete for daily guitar time.,"Smart guitar amp and app ecosystem connecting gear, tones, songs, and practice.",Visible smart-amp ecosystem,Private,"AI tone generation, chord detection, smart practice, and connected hardware",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.positivegrid.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-22,FL Studio,Music hobby software ecosystem,Accessible production platform,"Shapes the path from musical interest to beat-making, production, and creator identity.",Popular music production software known for fast beat-making and accessible creator workflows.,Major producer platform,Image-Line,"Research browser DAW, AI-assisted production, and beginner creator onboarding",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://www.image-line.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-23,ElevenLabs Music,AI companies and AI initiatives,AI music and audio platform,"Important because major AI audio platforms may enter music creation, rights, and creator tooling at scale.",AI audio platform expanding into full music generation from natural language prompts.,High-profile AI audio company,Private,Core AI music and audio generation,2025-08-01: ElevenLabs launched Eleven Music for prompt-based music generation.,No app-performance row mapped; add if app-based.,Low,https://elevenlabs.io/music,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-24,Spotify for Artists,"Investors, media, awards, funding and cultural drivers",Artist analytics and promotion platform,"Important for how hobbyists understand music success, release goals, artist identity, and AI-authenticity debates.","Artist-facing platform for managing Spotify presence, audience insights, promotion, and artist business tools.",Major global music platform,Spotify,"Artist authenticity, AI music policy, recommendations, and creator tools",No strong last-24-month news item mapped yet; monitor via source watchlist.,No app-performance row mapped; add if app-based.,Low,https://artists.spotify.com/en/home,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-25,TikTok for Artists,"Investors, media, awards, funding and cultural drivers",Music discovery and artist insights platform,"TikTok can shape song discovery, cultural momentum, and what learners want to play.",Artist insight platform tied to TikTok's music discovery and fan engagement surface.,Massive short-form discovery platform,ByteDance,"Recommendation, trend detection, creator tools, and AI content policy","2025-06-03: TikTok for Artists launched globally after beta testing, initially in 26 countries. | 2025-04-10: Coverage indicated TikTok was preparing a dedicated artist insights platform before global launch.",No app-performance row mapped; add if app-based.,Low,https://artists.tiktok.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-26,Musora,Music learning apps and platforms,Multi-instrument lesson ecosystem,Adds an important multi-instrument subscription benchmark beyond single-instrument apps.,"Umbrella music education platform spanning drums, piano, guitar, singing, lessons, and community.",Large online music lesson ecosystem,Private,"Research practice feedback, lesson recommendation, and cross-instrument learning paths","2025-09-01: Musora education brands continued to scale YouTube-led funnels for piano, drums, guitar and voice.",Musora / Drumeo / Pianote apps: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Low,https://www.musora.com/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-27,Fretello,Music learning apps and platforms,Guitar learning app,"Directly relevant for guitar onboarding, lesson pacing, personalization, and app-store positioning.",Mobile guitar learning app focused on structured plans and guided practice.,Specialist guitar app,Fretello GmbH,"Research personalization, adaptive plans, and feedback patterns",No strong last-24-month news item mapped yet; monitor via source watchlist.,Fretello Guitar Lessons: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://fretello.com/app/,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
KP-28,Chord ai,Music hobby software ecosystem,AI chord recognition app,Important because it moves AI directly into the song-to-practice moment that GuitarTuna/Yousician users care about.,Mobile app that detects chords and song structure from audio to support self-guided playing.,Visible AI practice utility,Nomad AI,Core AI chord recognition and song parsing,"2024-07-15: Chord ai public listings positioned AI chord, beat and song-structure recognition as a play-any-song utility.",Chord ai: Credentialed Appfigures export not available in this package; use Appfigures import path before treating performance metrics as complete.,Pending,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Validate Appfigures/traffic or investor data where applicable; confirm internal relationship owner.,Complete for report; performance metrics pending where credentialed data is missing.
