"priority","player_id","player_name","category","backlog_type","question_or_task","recommended_source","owner","next_action","source_status"
"Normal","musicca","Musicca","education","Open evidence question","Traffic and SEO scale","Similarweb | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/exercise sources linked; needs traffic + audience validation"
"Normal","musicca","Musicca","education","Open evidence question","Conversion from theory tools to instrument practice","Similarweb | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/exercise sources linked; needs traffic + audience validation"
"Normal","musicca","Musicca","education","Open evidence question","Fit as benchmark or partner surface","Similarweb | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/exercise sources linked; needs traffic + audience validation"
"Medium","musicca","Musicca","education","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Company source","Learning strategy","Fill live-overrides-template.json or Airtable metrics fields.","Public product/exercise sources linked; needs traffic + audience validation"
"Medium","abrsm","ABRSM","education","Open evidence question","Regional relevance for Yousician priority markets","Manual research","Learning strategy","Resolve before board-ready use if this player is cited.","Needs regional uptake and digital tool validation"
"Medium","abrsm","ABRSM","education","Open evidence question","Digital tool adoption","Manual research","Learning strategy","Resolve before board-ready use if this player is cited.","Needs regional uptake and digital tool validation"
"Medium","abrsm","ABRSM","education","Open evidence question","Teacher and parent influence on learning choices","Manual research","Learning strategy","Resolve before board-ready use if this player is cited.","Needs regional uptake and digital tool validation"
"Normal","rcm","Royal Conservatory of Music","education","Open evidence question","Digital product traction","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public learning/digital sources linked; needs teacher-channel validation"
"Normal","rcm","Royal Conservatory of Music","education","Open evidence question","North American teacher/student adoption","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public learning/digital sources linked; needs teacher-channel validation"
"Normal","rcm","Royal Conservatory of Music","education","Open evidence question","Potential curriculum-alignment relevance","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public learning/digital sources linked; needs teacher-channel validation"
"Medium","school-of-rock","School of Rock","education","Open evidence question","Current school/location count","Appfigures | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public app sources linked; needs location count + manual site check"
"Medium","school-of-rock","School of Rock","education","Open evidence question","Student reach and demographics","Appfigures | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public app sources linked; needs location count + manual site check"
"Medium","school-of-rock","School of Rock","education","Open evidence question","Hybrid/digital learning tool relevance","Appfigures | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public app sources linked; needs location count + manual site check"
"Normal","flat-io","Flat for Education","education","Open evidence question","School penetration","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs school penetration data"
"Normal","flat-io","Flat for Education","education","Open evidence question","AI/composition roadmap","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs school penetration data"
"Normal","flat-io","Flat for Education","education","Open evidence question","Overlap with notation/practice platforms","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs school penetration data"
"Normal","noteflight","Noteflight","education","Open evidence question","Ownership and traffic","Similarweb | Crunchbase | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Needs traffic and ownership source"
"Normal","noteflight","Noteflight","education","Open evidence question","Classroom adoption scale","Similarweb | Crunchbase | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Needs traffic and ownership source"
"Normal","noteflight","Noteflight","education","Open evidence question","AI composition or teacher workflow roadmap","Similarweb | Crunchbase | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Needs traffic and ownership source"
"Medium","noteflight","Noteflight","education","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Crunchbase | Company source","Learning strategy","Fill live-overrides-template.json or Airtable metrics fields.","Needs traffic and ownership source"
"Normal","donner","Donner","hardware","Open evidence question","Sales scale and geography split","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public retail/app sources linked; needs sales + geography data"
"Normal","donner","Donner","hardware","Open evidence question","App usage and connected gear adoption","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public retail/app sources linked; needs sales + geography data"
"Normal","donner","Donner","hardware","Open evidence question","Beginner bundle partnerships","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public retail/app sources linked; needs sales + geography data"
"Normal","gear4music","Gear4music","hardware","Open evidence question","Traffic and category share","Similarweb","Partnerships","Resolve before board-ready use if this player is cited.","Needs traffic + education-channel validation"
"Normal","gear4music","Gear4music","hardware","Open evidence question","Education-channel sales data","Similarweb","Partnerships","Resolve before board-ready use if this player is cited.","Needs traffic + education-channel validation"
"Normal","gear4music","Gear4music","hardware","Open evidence question","Bundle/referral opportunity","Similarweb","Partnerships","Resolve before board-ready use if this player is cited.","Needs traffic + education-channel validation"
"Medium","gear4music","Gear4music","hardware","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb","Partnerships","Fill live-overrides-template.json or Airtable metrics fields.","Needs traffic + education-channel validation"
"Normal","audacity","Audacity","creation","Open evidence question","Current Muse Group roadmap","Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs usage scale + roadmap source"
"Normal","audacity","Audacity","creation","Open evidence question","AI editing/transcription direction","Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs usage scale + roadmap source"
"Normal","audacity","Audacity","creation","Open evidence question","Hobbyist learner overlap","Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs usage scale + roadmap source"
"Normal","soundation","Soundation","creation","Open evidence question","Education use and traffic","Appfigures | Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product source linked; needs app/traffic + education validation"
"Normal","soundation","Soundation","creation","Open evidence question","AI-assisted creation roadmap","Appfigures | Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product source linked; needs app/traffic + education validation"
"Normal","soundation","Soundation","creation","Open evidence question","Overlap with beginner production pathways","Appfigures | Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product source linked; needs app/traffic + education validation"
"Medium","soundation","Soundation","creation","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Creator ecosystem","Fill live-overrides-template.json or Airtable metrics fields.","Public product source linked; needs app/traffic + education validation"
"Normal","beatstars","BeatStars","creation","Open evidence question","Marketplace scale","Similarweb | Audience source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs traffic + marketplace scale validation"
"Normal","beatstars","BeatStars","creation","Open evidence question","AI-generated beat policy","Similarweb | Audience source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs traffic + marketplace scale validation"
"Normal","beatstars","BeatStars","creation","Open evidence question","Relevance to learning-to-creator journey","Similarweb | Audience source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs traffic + marketplace scale validation"
"Medium","beatstars","BeatStars","creation","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Audience source","Creator ecosystem","Fill live-overrides-template.json or Airtable metrics fields.","Needs traffic + marketplace scale validation"
"Medium","flow-music","Flow Music","ai","Open evidence question","Riffusion/Flow ownership and rebrand details","Appfigures | Crunchbase | Legal/news","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding, usage, rights, and rebrand validation"
"Medium","flow-music","Flow Music","ai","Open evidence question","User adoption and rights posture","Appfigures | Crunchbase | Legal/news","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding, usage, rights, and rebrand validation"
"Medium","flow-music","Flow Music","ai","Open evidence question","Competitive positioning vs Suno and Udio","Appfigures | Crunchbase | Legal/news","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding, usage, rights, and rebrand validation"
"Normal","ripx-daw","RipX DAW","ai","Open evidence question","User scale and education use","Manual research","AI strategy","Resolve before board-ready use if this player is cited.","Needs user scale and musician workflow validation"
"Normal","ripx-daw","RipX DAW","ai","Open evidence question","Accuracy and workflow differentiation","Manual research","AI strategy","Resolve before board-ready use if this player is cited.","Needs user scale and musician workflow validation"
"Normal","ripx-daw","RipX DAW","ai","Open evidence question","Practice/backing-track relevance","Manual research","AI strategy","Resolve before board-ready use if this player is cited.","Needs user scale and musician workflow validation"
"Medium","klangio","Klangio","ai","Open evidence question","Accuracy by instrument","Appfigures | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Public product source linked; needs app usage + accuracy validation"
"Medium","klangio","Klangio","ai","Open evidence question","Teacher and transcriber adoption","Appfigures | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Public product source linked; needs app usage + accuracy validation"
"Medium","klangio","Klangio","ai","Open evidence question","Overlap with song-to-practice workflows","Appfigures | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Public product source linked; needs app usage + accuracy validation"
"Normal","music-ally","Music Ally","signals","Open evidence question","Monitoring setup and subscription access","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs monitoring feed setup"
"Normal","music-ally","Music Ally","signals","Open evidence question","Weekly scan ownership","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs monitoring feed setup"
"Normal","music-ally","Music Ally","signals","Open evidence question","Which topics should feed the board export","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs monitoring feed setup"
"Medium","midia-research","MIDiA Research","signals","Open evidence question","Report access and licensing","Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs report access / subscription validation"
"Medium","midia-research","MIDiA Research","signals","Open evidence question","Most relevant music participation reports","Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs report access / subscription validation"
"Medium","midia-research","MIDiA Research","signals","Open evidence question","Cadence for updating market assumptions","Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs report access / subscription validation"
"Medium","midia-research","MIDiA Research","signals","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Audience source | Company source","Strategy / monitoring","Fill live-overrides-template.json or Airtable metrics fields.","Needs report access / subscription validation"
"Normal","namm","NAMM","signals","Open evidence question","Which NAMM announcements matter to Yousician","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs event/news monitoring setup"
"Normal","namm","NAMM","signals","Open evidence question","Partner shortlist from member/event ecosystem","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs event/news monitoring setup"
"Normal","namm","NAMM","signals","Open evidence question","Education and connected-gear signals","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs event/news monitoring setup"
"Normal","luminate","Luminate","signals","Open evidence question","Data/report access","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs data access / report permission"
"Normal","luminate","Luminate","signals","Open evidence question","Song and genre trend relevance for learning demand","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs data access / report permission"
"Normal","luminate","Luminate","signals","Open evidence question","How to connect to strategic monitoring","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs data access / report permission"
"Medium","luminate","Luminate","signals","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Company source","Strategy / monitoring","Fill live-overrides-template.json or Airtable metrics fields.","Needs data access / report permission"
"Normal","chartmetric","Chartmetric","signals","Open evidence question","API/account access","Manual research","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs account/API access"
"Normal","chartmetric","Chartmetric","signals","Open evidence question","TikTok-to-learning demand signal design","Manual research","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs account/API access"
"Normal","chartmetric","Chartmetric","signals","Open evidence question","Artist/song trend monitoring cadence","Manual research","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Needs account/API access"
"Medium","chartmetric","Chartmetric","signals","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Manual research","Strategy / monitoring","Fill live-overrides-template.json or Airtable metrics fields.","Needs account/API access"
"Normal","a16z-consumer","a16z Consumer","signals","Open evidence question","Relevant consumer AI portfolio moves","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public investor thesis source linked; needs deal monitoring"
"Normal","a16z-consumer","a16z Consumer","signals","Open evidence question","Music, creator, or education thesis mentions","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public investor thesis source linked; needs deal monitoring"
"Normal","a16z-consumer","a16z Consumer","signals","Open evidence question","Deal-monitoring cadence and owner","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public investor thesis source linked; needs deal monitoring"
"Normal","general-catalyst","General Catalyst","signals","Open evidence question","Relevant AI, education, or consumer portfolio companies","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public company source linked; needs portfolio watchlist"
"Normal","general-catalyst","General Catalyst","signals","Open evidence question","Any thesis overlap with music learning or creator workflows","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public company source linked; needs portfolio watchlist"
"Normal","general-catalyst","General Catalyst","signals","Open evidence question","Watchlist owner and update cadence","Crunchbase | Audience source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public company source linked; needs portfolio watchlist"
"Normal","eic-accelerator","EIC Accelerator","signals","Open evidence question","Eligibility for Yousician-owned initiatives","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs eligibility review"
"Normal","eic-accelerator","EIC Accelerator","signals","Open evidence question","Best-fit challenge themes and cut-off dates","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs eligibility review"
"Normal","eic-accelerator","EIC Accelerator","signals","Open evidence question","Grant vs equity suitability","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs eligibility review"
"Normal","horizon-europe-cluster-2","Horizon Europe Cluster 2","signals","Open evidence question","Relevant 2026-27 work-programme calls","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs work-programme scan"
"Normal","horizon-europe-cluster-2","Horizon Europe Cluster 2","signals","Open evidence question","Potential consortium partners","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs work-programme scan"
"Normal","horizon-europe-cluster-2","Horizon Europe Cluster 2","signals","Open evidence question","Fit for music participation, learning impact, or cultural inclusion","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs work-programme scan"
"Normal","eit-culture-creativity","EIT Culture & Creativity","signals","Open evidence question","Open accelerator or skills-programme calls","Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public programme source linked; needs opportunity monitoring"
"Normal","eit-culture-creativity","EIT Culture & Creativity","signals","Open evidence question","Partnership fit for music-learning initiatives","Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public programme source linked; needs opportunity monitoring"
"Normal","eit-culture-creativity","EIT Culture & Creativity","signals","Open evidence question","Expected effort and internal owner","Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public programme source linked; needs opportunity monitoring"
"Normal","apple-design-awards","Apple Design Awards","signals","Open evidence question","Which annual categories fit Yousician best","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","apple-design-awards","Apple Design Awards","signals","Open evidence question","Submission calendar and owner","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","apple-design-awards","Apple Design Awards","signals","Open evidence question","Product-quality gaps against finalist benchmark","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","google-play-best-of","Google Play Best Of","signals","Open evidence question","Relevant 2026 category once published","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","google-play-best-of","Google Play Best Of","signals","Open evidence question","Android product story and submission owner","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","google-play-best-of","Google Play Best Of","signals","Open evidence question","Competitive recognition examples in learning or creativity","Appfigures | Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs category-fit review"
"Normal","music-tectonics","Music Tectonics","signals","Open evidence question","Pitch competition and startup shortlist","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public conference source linked; needs annual scan"
"Normal","music-tectonics","Music Tectonics","signals","Open evidence question","AI/rights/creator-tool themes to track","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public conference source linked; needs annual scan"
"Normal","music-tectonics","Music Tectonics","signals","Open evidence question","Partner or investor intros worth pursuing","Audience source | Legal/news | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public conference source linked; needs annual scan"
"Normal","learning-technologies-awards","Learning Technologies Awards","signals","Open evidence question","Whether music learning has credible category fit","Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs relevance review"
"Normal","learning-technologies-awards","Learning Technologies Awards","signals","Open evidence question","Which AI-learning criteria are relevant","Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs relevance review"
"Normal","learning-technologies-awards","Learning Technologies Awards","signals","Open evidence question","Use as benchmark only or active submission target","Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs relevance review"
"Normal","sxsw-edu-launch","SXSW EDU Launch","signals","Open evidence question","Relevant finalist patterns for music learning","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public competition source linked; needs annual scan"
"Normal","sxsw-edu-launch","SXSW EDU Launch","signals","Open evidence question","Investor-facing EdTech claims to benchmark","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public competition source linked; needs annual scan"
"Normal","sxsw-edu-launch","SXSW EDU Launch","signals","Open evidence question","Whether to monitor only or pursue presence","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public competition source linked; needs annual scan"
